Time	Magnets_Z	Extension	dx	dy	z0	x0	y0	Piezo_pstn	Magnets_Moving	turns
sec	mm	nm	nm	nm	nm	nm	nm	y/n	 
554.396	-10.480	68.410	-3804.104	-9276.524	-155.568	37480.412	17165.194	10.304	0.000	-0.000
554.407	-10.480	137.730	-3434.084	-9248.523	-145.044	37477.308	17157.944	10.304	0.000	-0.000
554.417	-10.480	120.247	-3576.195	-9206.469	-152.731	37476.747	17156.459	10.304	0.000	-0.000
554.436	-10.480	338.810	-3692.960	-9207.841	-151.163	37480.692	17158.628	10.304	0.000	-0.000
554.447	-10.480	201.689	-3624.110	-8957.277	-156.316	37475.680	17158.735	10.304	0.000	-0.000
554.466	-10.480	118.335	-3627.604	-9606.636	-148.990	37479.747	17159.398	10.304	0.000	-0.000
554.486	-10.480	333.704	-3577.927	-9182.522	-144.774	37476.514	17162.036	10.304	0.000	-0.000
554.496	-10.480	84.778	-3516.968	-9428.744	-142.418	37480.335	17159.134	10.304	0.000	-0.000
554.505	-10.480	98.622	-3699.209	-9207.633	-142.938	37474.046	17158.955	10.304	0.000	-0.000
554.515	-10.480	351.043	-3797.814	-9237.464	-143.187	37471.653	17161.603	10.304	0.000	-0.000
554.526	-10.480	155.184	-3668.648	-9301.877	-146.310	37481.844	17156.457	10.304	0.000	-0.000
554.536	-10.480	149.142	-3584.706	-9359.938	-142.131	37475.978	17159.974	10.304	0.000	-0.000
554.546	-10.480	241.378	-3650.202	-9328.082	-153.371	37474.322	17163.291	10.304	0.000	-0.000
554.555	-10.480	124.850	-3628.567	-9028.804	-150.318	37482.225	17160.400	10.304	0.000	-0.000
554.575	-10.480	132.662	-3799.361	-8945.434	-140.279	37472.614	17155.964	10.304	0.000	-0.000
554.586	-10.480	334.736	-3613.397	-9391.125	-143.181	37478.155	17159.982	10.304	0.000	-0.000
554.595	-10.480	358.665	-3525.082	-9507.065	-150.094	37481.111	17161.376	10.304	0.000	-0.000
554.605	-10.480	142.715	-3537.212	-9498.872	-136.210	37472.339	17156.461	10.304	0.000	-0.000
554.615	-10.480	67.177	-3812.159	-9382.968	-150.832	37476.397	17162.091	10.304	0.000	-0.000
554.655	-10.480	334.052	-3742.765	-9577.317	-140.350	37480.960	17158.995	10.304	0.000	-0.000
554.665	-10.480	111.475	-3736.872	-9141.475	-150.067	37476.461	17161.617	10.304	0.000	-0.000
554.674	-10.480	199.997	-3620.676	-8979.254	-141.203	37471.538	17158.248	10.299	0.000	-0.000
554.684	-10.480	198.354	-3438.477	-8768.667	-151.798	37482.862	17160.218	10.299	0.000	-0.000
554.694	-10.480	157.429	-3704.227	-8807.571	-145.716	37478.718	17159.341	10.299	0.000	-0.000
554.714	-10.480	182.056	-3628.990	-9026.032	-141.367	37483.451	17165.736	10.299	0.000	-0.000
554.734	-10.480	108.108	-3833.297	-9206.410	-140.179	37468.496	17159.294	10.299	0.000	-0.000
554.745	-10.480	111.916	-3581.299	-9244.024	-146.660	37477.294	17163.017	10.299	0.000	-0.000
554.754	-10.480	58.788	-3744.304	-9389.452	-151.963	37485.322	17156.658	10.299	0.000	-0.000
554.764	-10.480	87.107	-3493.475	-9285.262	-139.028	37471.569	17162.711	10.299	0.000	-0.000
554.784	-10.480	114.646	-3518.144	-9531.633	-146.185	37482.966	17159.143	10.299	0.000	-0.000
554.794	-10.480	145.813	-3498.976	-9319.357	-143.716	37472.526	17161.442	10.299	0.000	-0.000
554.803	-10.480	93.948	-3396.842	-9424.261	-143.871	37476.487	17163.323	10.299	0.000	-0.000
