Time	Magnets_Z	Extension	dx	dy	z0	x0	y0	Piezo_pstn	Magnets_Moving	turns
sec	mm	nm	nm	nm	nm	nm	nm	y/n	 
209.166	-10.480	231.379	-0.737	34.280	-91.721	11651.303	10121.010	10.394	0.000	-0.000
209.176	-10.480	229.826	2.356	36.689	-88.161	11649.618	10121.050	10.394	0.000	-0.000
209.187	-10.480	234.321	16.954	38.229	-96.875	11647.506	10121.209	10.394	0.000	-0.000
209.197	-10.480	241.738	4.955	43.477	-98.582	11653.351	10119.856	10.394	0.000	-0.000
209.206	-10.480	228.621	12.195	41.637	-90.223	11651.540	10120.402	10.394	0.000	-0.000
209.216	-10.480	232.442	10.981	35.848	-92.146	11650.020	10121.112	10.394	0.000	-0.000
209.226	-10.480	232.494	18.092	44.890	-93.981	11652.235	10120.381	10.394	0.000	-0.000
209.236	-10.480	240.409	1.416	36.004	-103.364	11651.198	10122.747	10.394	0.000	-0.000
209.246	-10.480	228.928	18.325	35.882	-94.248	11648.403	10123.659	10.394	0.000	-0.000
209.256	-10.480	232.927	5.766	38.828	-95.599	11651.005	10122.522	10.394	0.000	-0.000
209.266	-10.480	238.890	0.823	36.967	-98.853	11649.625	10119.964	10.394	0.000	-0.000
209.276	-10.480	236.197	3.294	41.137	-101.005	11648.805	10123.714	10.394	0.000	-0.000
209.285	-10.480	236.905	21.082	38.793	-103.425	11653.458	10119.192	10.394	0.000	-0.000
209.295	-10.480	227.797	-3.272	38.627	-89.211	11651.660	10117.964	10.394	0.000	-0.000
209.306	-10.480	232.210	14.237	37.434	-99.759	11649.584	10122.303	10.394	0.000	-0.000
209.316	-10.480	238.194	15.671	42.829	-99.594	11648.595	10116.697	10.394	0.000	-0.000
209.326	-10.480	240.134	22.167	31.840	-99.113	11648.522	10120.408	10.394	0.000	-0.000
209.335	-10.480	234.966	16.601	38.554	-99.999	11645.403	10125.877	10.394	0.000	-0.000
209.345	-10.480	241.132	14.127	34.039	-98.646	11651.752	10124.602	10.399	0.000	-0.000
209.355	-10.480	240.257	15.850	31.672	-101.939	11650.931	10122.179	10.399	0.000	-0.000
209.366	-10.480	227.624	8.267	35.857	-91.908	11648.375	10121.528	10.399	0.000	-0.000
209.375	-10.480	239.866	2.494	39.500	-96.733	11651.828	10122.106	10.399	0.000	-0.000
209.385	-10.480	232.991	11.192	35.490	-99.974	11648.630	10122.164	10.399	0.000	-0.000
209.395	-10.480	232.458	11.160	39.439	-98.004	11647.223	10117.724	10.399	0.000	-0.000
209.405	-10.480	238.572	19.907	30.481	-104.597	11649.400	10122.397	10.399	0.000	-0.000
209.415	-10.480	231.870	23.885	33.708	-94.870	11650.976	10126.731	10.399	0.000	-0.000
209.425	-10.480	228.759	23.295	35.997	-94.341	11649.796	10118.248	10.399	0.000	-0.000
209.435	-10.480	236.316	21.347	40.759	-94.828	11646.886	10119.590	10.399	0.000	-0.000
209.445	-10.480	233.353	14.893	39.251	-95.698	11647.015	10121.851	10.399	0.000	-0.000
209.454	-10.480	237.578	0.470	40.156	-106.356	11647.849	10116.286	10.399	0.000	-0.000
209.464	-10.480	235.917	14.756	33.114	-102.990	11645.518	10119.905	10.399	0.000	-0.000
