Time	Magnets_Z	Extension	dx	dy	z0	x0	y0	Piezo_pstn	Magnets_Moving	turns
sec	mm	nm	nm	nm	nm	nm	nm	y/n	 
208.521	-10.480	257.346	-37.747	16.314	-96.914	11649.018	10121.854	10.390	0.000	-0.000
208.551	-10.480	227.744	-40.323	0.240	-89.742	11647.405	10120.891	10.390	0.000	-0.000
208.561	-10.480	217.836	-21.227	9.947	-84.305	11651.953	10121.153	10.390	0.000	-0.000
208.571	-10.480	237.757	-21.828	5.030	-91.289	11647.569	10120.232	10.390	0.000	-0.000
208.580	-10.480	227.007	-12.799	8.189	-95.212	11650.345	10120.571	10.390	0.000	-0.000
208.591	-10.480	248.324	-19.934	13.596	-89.338	11649.657	10123.276	10.390	0.000	-0.000
208.601	-10.480	227.236	-28.374	16.033	-93.462	11649.214	10123.496	10.390	0.000	-0.000
208.611	-10.480	222.110	-17.760	5.357	-87.989	11650.697	10121.683	10.390	0.000	-0.000
208.622	-10.480	226.424	-13.287	4.896	-91.461	11649.638	10115.379	10.390	0.000	-0.000
208.630	-10.480	203.840	-23.125	5.568	-88.839	11647.898	10126.689	10.390	0.000	-0.000
208.640	-10.480	233.435	-32.589	-1.828	-94.411	11652.900	10122.033	10.390	0.000	-0.000
208.650	-10.480	211.437	-23.809	-1.339	-92.304	11650.979	10120.780	10.390	0.000	-0.000
208.660	-10.480	227.855	-26.664	13.501	-99.712	11647.752	10125.317	10.390	0.000	-0.000
208.670	-10.480	214.723	-10.452	3.495	-92.369	11648.134	10121.108	10.390	0.000	-0.000
208.680	-10.480	214.188	-21.131	5.144	-91.979	11651.759	10120.310	10.390	0.000	-0.000
208.690	-10.480	234.152	-22.066	25.090	-87.646	11649.069	10117.756	10.390	0.000	-0.000
208.700	-10.480	219.798	-18.487	7.549	-88.254	11648.098	10122.976	10.390	0.000	-0.000
208.710	-10.480	226.720	-12.705	4.969	-93.240	11650.539	10123.298	10.390	0.000	-0.000
208.720	-10.480	223.728	-30.723	1.057	-91.334	11650.106	10120.546	10.390	0.000	-0.000
208.730	-10.480	217.781	-25.517	10.979	-96.847	11648.882	10123.405	10.390	0.000	-0.000
208.740	-10.480	216.481	9.722	-2.646	-92.436	11650.458	10121.380	10.390	0.000	-0.000
208.749	-10.480	207.288	-16.718	14.614	-89.338	11647.446	10117.619	10.390	0.000	-0.000
208.759	-10.480	213.517	-35.569	-4.058	-91.651	11649.415	10123.553	10.390	0.000	-0.000
208.770	-10.480	216.793	-33.112	2.200	-83.913	11649.647	10122.186	10.390	0.000	-0.000
208.780	-10.480	219.374	1.038	-1.079	-90.662	11645.535	10123.319	10.390	0.000	-0.000
208.789	-10.480	230.246	-34.262	13.358	-98.019	11650.255	10123.647	10.390	0.000	-0.000
208.799	-10.480	239.789	-29.302	20.170	-98.503	11648.649	10119.735	10.390	0.000	-0.000
208.809	-10.480	236.608	-27.638	3.030	-96.962	11652.090	10123.295	10.390	0.000	-0.000
208.819	-10.480	225.494	-9.345	-7.160	-89.504	11649.205	10120.911	10.390	0.000	-0.000
208.828	-10.480	238.717	-22.396	10.538	-98.189	11648.880	10122.027	10.390	0.000	-0.000
208.839	-10.480	219.386	-37.738	10.172	-96.739	11649.471	10120.449	10.390	0.000	-0.000
208.849	-10.480	244.732	-34.743	11.573	-91.813	11649.159	10120.954	10.390	0.000	-0.000
208.859	-10.480	214.864	-19.695	19.445	-92.658	11648.917	10120.674	10.390	0.000	-0.000
208.868	-10.480	210.981	-29.949	10.350	-88.704	11648.797	10121.405	10.390	0.000	-0.000
208.878	-10.480	218.520	-32.655	5.632	-94.379	11651.166	10126.816	10.390	0.000	-0.000
208.889	-10.480	224.495	-23.288	12.462	-96.085	11652.045	10121.976	10.390	0.000	-0.000
208.899	-10.480	228.851	-25.821	9.673	-93.197	11649.305	10119.116	10.390	0.000	-0.000
208.910	-10.480	226.757	-14.013	6.667	-95.985	11647.447	10119.055	10.390	0.000	-0.000
208.918	-10.480	230.590	-13.461	12.649	-96.130	11651.970	10121.035	10.390	0.000	-0.000
208.928	-10.480	246.869	-46.468	25.789	-98.754	11651.228	10118.298	10.390	0.000	-0.000
208.939	-10.480	234.273	-33.698	18.199	-99.915	11648.626	10116.817	10.390	0.000	-0.000
208.948	-10.480	220.260	-40.978	21.064	-85.474	11650.657	10122.169	10.394	0.000	-0.000
208.958	-10.480	217.213	-9.344	16.910	-86.620	11650.011	10123.334	10.394	0.000	-0.000
208.968	-10.480	229.387	-24.315	0.194	-95.348	11647.575	10119.787	10.394	0.000	-0.000
208.978	-10.480	228.075	-10.758	12.186	-89.382	11651.716	10119.944	10.394	0.000	-0.000
208.988	-10.480	239.740	-34.620	3.329	-93.473	11650.195	10124.954	10.394	0.000	-0.000
208.997	-10.480	250.722	-30.247	21.459	-95.643	11649.131	10120.202	10.394	0.000	-0.000
209.008	-10.480	233.398	-29.948	15.383	-93.402	11648.832	10121.941	10.394	0.000	-0.000
209.018	-10.480	226.244	-31.088	6.519	-98.522	11649.975	10121.984	10.394	0.000	-0.000
209.028	-10.480	226.030	-40.688	-0.064	-101.790	11650.023	10123.735	10.394	0.000	-0.000
209.037	-10.480	220.462	-26.551	10.531	-90.626	11651.980	10119.713	10.394	0.000	-0.000
209.047	-10.480	233.568	-26.789	6.880	-91.901	11647.405	10122.446	10.394	0.000	-0.000
209.060	-10.480	215.044	-44.232	3.118	-91.289	11648.857	10120.911	10.394	0.000	-0.000
209.068	-10.480	220.501	-27.456	1.210	-97.529	11651.187	10121.602	10.394	0.000	-0.000
209.077	-10.480	250.304	-10.419	10.922	-98.903	11648.900	10120.121	10.394	0.000	-0.000
209.087	-10.480	235.010	-14.456	18.598	-100.768	11650.473	10117.897	10.394	0.000	-0.000
209.097	-10.480	238.486	-34.439	19.526	-102.007	11651.201	10121.317	10.394	0.000	-0.000
209.107	-10.480	232.613	-26.270	7.054	-98.651	11649.633	10120.649	10.394	0.000	-0.000
209.118	-10.480	217.620	-44.734	20.396	-94.631	11647.493	10121.238	10.394	0.000	-0.000
209.127	-10.480	223.692	-41.751	5.302	-98.772	11650.934	10122.584	10.394	0.000	-0.000
209.137	-10.480	223.530	-20.590	5.949	-99.404	11650.395	10122.149	10.394	0.000	-0.000
209.147	-10.480	222.997	-24.772	19.682	-88.673	11647.003	10119.495	10.394	0.000	-0.000
209.157	-10.480	226.129	-49.401	15.752	-98.918	11646.786	10122.354	10.394	0.000	-0.000
209.166	-10.480	218.646	-39.357	5.716	-91.721	11651.303	10121.010	10.394	0.000	-0.000
209.176	-10.480	220.673	-33.877	6.112	-88.161	11649.618	10121.050	10.394	0.000	-0.000
209.187	-10.480	233.596	-22.530	5.593	-96.875	11647.506	10121.209	10.394	0.000	-0.000
209.197	-10.480	253.166	-26.417	14.266	-98.582	11653.351	10119.856	10.394	0.000	-0.000
209.206	-10.480	226.123	-30.961	15.503	-90.223	11651.540	10120.402	10.394	0.000	-0.000
209.216	-10.480	218.187	-26.017	4.303	-92.146	11650.020	10121.112	10.394	0.000	-0.000
