Time	Magnets_Z	Extension	dx	dy	z0	x0	y0	Piezo_pstn	Magnets_Moving	turns
sec	mm	nm	nm	nm	nm	nm	nm	y/n	 
553.533	-10.480	310.649	-19.115	30.279	-162.391	37487.897	17157.578	10.309	0.000	-0.000
553.562	-10.480	315.490	-31.267	28.436	-150.934	37488.686	17159.918	10.309	0.000	-0.000
553.573	-10.480	303.189	-26.855	32.486	-140.139	37476.795	17161.076	10.309	0.000	-0.000
553.583	-10.480	323.487	-44.869	33.878	-153.589	37470.741	17160.408	10.309	0.000	-0.000
553.592	-10.480	306.547	-42.619	35.991	-150.181	37486.920	17159.640	10.309	0.000	-0.000
553.602	-10.480	294.421	-21.997	32.474	-145.645	37479.377	17160.400	10.309	0.000	-0.000
553.612	-10.480	303.240	-21.407	29.608	-147.779	37473.064	17161.259	10.304	0.000	-0.000
553.623	-10.480	302.910	-36.732	50.243	-150.708	37482.117	17159.793	10.304	0.000	-0.000
553.632	-10.480	291.749	-29.280	44.340	-149.082	37481.127	17160.773	10.304	0.000	-0.000
553.642	-10.480	297.795	-21.488	45.128	-147.166	37476.000	17160.134	10.304	0.000	-0.000
553.652	-10.480	292.852	-26.671	44.666	-146.573	37479.460	17157.693	10.304	0.000	-0.000
553.662	-10.480	304.964	-8.647	27.327	-146.545	37481.807	17165.011	10.304	0.000	-0.000
553.671	-10.480	306.346	-24.531	40.904	-144.245	37476.245	17158.286	10.304	0.000	-0.000
553.681	-10.480	315.060	-28.172	45.708	-154.410	37475.944	17157.896	10.304	0.000	-0.000
553.692	-10.480	292.042	2.463	28.662	-152.914	37483.614	17167.360	10.304	0.000	-0.000
553.702	-10.480	290.616	-22.815	42.401	-142.309	37481.432	17156.162	10.304	0.000	-0.000
553.712	-10.480	291.566	-26.872	44.100	-144.418	37470.811	17156.226	10.304	0.000	-0.000
553.721	-10.480	305.659	-20.937	37.126	-157.313	37482.175	17161.368	10.304	0.000	-0.000
553.731	-10.480	294.440	-25.890	36.820	-147.608	37482.353	17156.316	10.304	0.000	-0.000
553.741	-10.480	293.002	-0.031	33.944	-137.688	37469.452	17160.188	10.304	0.000	-0.000
553.752	-10.480	285.638	-31.414	34.391	-145.260	37481.762	17161.451	10.304	0.000	-0.000
553.761	-10.480	309.483	-35.254	31.686	-148.409	37485.118	17157.310	10.304	0.000	-0.000
553.771	-10.480	300.874	-30.702	29.322	-142.033	37470.858	17163.548	10.304	0.000	-0.000
553.781	-10.480	299.872	-29.802	39.162	-147.763	37480.545	17158.159	10.304	0.000	-0.000
553.791	-10.480	301.355	-32.987	35.655	-149.878	37486.176	17157.354	10.304	0.000	-0.000
